,dataset,question_type,config,madp,llm,mean_metric,std_metric,count,ci_lower,ci_upper,layers,workers
311,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.03896103896103896,0.19477101545677747,77,-0.0045435467491645246,0.08246562467124244,3.0,3.0
312,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.06493506493506493,0.24802707501094018,77,0.009535060381209506,0.12033506948892035,4.0,3.0
313,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.07792207792207792,0.2698066445201162,77,0.017657329267457923,0.13818682657669792,5.0,3.0
314,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.07792207792207792,0.26980664452011627,77,0.01765732926745791,0.13818682657669792,3.0,4.0
315,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W4 L4,MoA,<qLKSiki>,0.07792207792207792,0.2698066445201162,77,0.017657329267457923,0.13818682657669792,4.0,4.0
316,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W4 L5,MoA,<qLKSiki>,0.06493506493506493,0.2480270750109402,77,0.0095350603812095,0.12033506948892037,5.0,4.0
317,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W5 L3,MoA,<qLKSiki>,0.12987012987012986,0.33836485099003594,77,0.05429203306402204,0.2054482266762377,3.0,5.0
318,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W5 L4,MoA,<qLKSiki>,0.07792207792207792,0.26980664452011627,77,0.01765732926745791,0.13818682657669792,4.0,5.0
319,FANToM,BeliefQ_Dist_First_Order,<qLKSiki> MoA W5 L5,MoA,<qLKSiki>,0.09090909090909091,0.28936492084609694,77,0.026275752262926236,0.1555424295552556,5.0,5.0
325,FANToM,BeliefQ_Dist_First_Order,Mixed MoA W5 L5,MoA,Mixed,0.05194805194805195,0.22337741817404583,77,0.002053862035419414,0.1018422418606845,5.0,5.0
341,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W3 L3,MoA,<Rc3kmmq>,0.20883760485559946,0.07633320479305647,77,0.19178761185399196,0.22588759785720697,3.0,3.0
342,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W3 L4,MoA,<Rc3kmmq>,0.2064362671177071,0.07454750388746,77,0.1897851331450887,0.2230874010903255,4.0,3.0
343,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W3 L5,MoA,<Rc3kmmq>,0.19941063499542122,0.06989945225858828,77,0.18379770252316197,0.21502356746768048,5.0,3.0
344,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W4 L3,MoA,<Rc3kmmq>,0.20195522211257005,0.06946460971460545,77,0.18643941725799446,0.21747102696714565,3.0,4.0
345,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W4 L4,MoA,<Rc3kmmq>,0.2047968491800498,0.0749505813090702,77,0.18805568273419526,0.22153801562590436,4.0,4.0
346,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W4 L5,MoA,<Rc3kmmq>,0.20466202539141867,0.06983958384976982,77,0.18906246529038553,0.2202615854924518,5.0,4.0
347,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W5 L3,MoA,<Rc3kmmq>,0.20973189832631217,0.07940003657319443,77,0.19199688940626894,0.2274669072463554,3.0,5.0
348,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W5 L4,MoA,<Rc3kmmq>,0.20267236590908513,0.07175383315339713,77,0.1866452338579595,0.21869949796021076,4.0,5.0
349,FANToM,BeliefQ_Dist_First_Order_TokenF1,<Rc3kmmq> MoA W5 L5,MoA,<Rc3kmmq>,0.19574026432723635,0.06561483256775875,77,0.1810843562055365,0.2103961724489362,5.0,5.0
366,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MoA W3 L3,MoA,<qLKSiki>,0.28572152736968376,0.08835517060105695,77,0.265986275266907,0.3054567794724605,3.0,3.0
367,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MoA W3 L4,MoA,<qLKSiki>,0.28932117519500744,0.08837104407617548,77,0.2695823775494958,0.30905997284051906,4.0,3.0
368,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MoA W3 L5,MoA,<qLKSiki>,0.2760071735004996,0.08205283163311237,77,0.25767962903411157,0.2943347179668876,5.0,3.0
369,FANToM,BeliefQ_Dist_First_Order_TokenF1,<qLKSiki> MoA W4 L3,MoA,<qLKSiki>,0.2873596617713306,0.08717572345499992,77,0.2678878542028238,0.3068314693398374,3.0,4.0
